station_key,direction_label,month_name,time_of_day,is_weekend,functional_class,aadt_band,station_type,avg_forecast,max_forecast,avg_lower,avg_upper,avg_reliability,avg_interval_width,prediction_count
STN_0001,Northbound,May,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,Established Station,921.235,1051.87,527.0475,1226.3625,0.55,699.315,4
STN_0001,Northbound,May,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),963.935,994.0,629.2449999999999,1212.225,0.5,582.98,2
STN_0001,Northbound,May,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,Established Station,689.5075,785.05,350.055,1049.1975,0.55,699.1425,4
STN_0001,Northbound,May,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),791.6166666666667,814.31,510.65333333333336,1114.5266666666666,0.5,603.8733333333334,3
STN_0001,Northbound,May,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),803.92,959.37,468.47222222222223,1041.4988888888888,0.5,573.0266666666666,9
STN_0001,Northbound,May,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),797.975,833.9,497.0075,1121.2775000000001,0.5,624.27,4
STN_0001,Northbound,May,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,Established Station,790.266,825.16,419.552,1061.488,0.55,641.936,5
STN_0001,Northbound,May,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),566.63,566.63,195.92,837.86,0.5,641.94,1
STN_0001,Northbound,May,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,Established Station,456.0,456.0,255.05,688.33,0.55,433.28000000000003,1
STN_0001,Northbound,May,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),205.0,205.0,4.05,437.33,0.5,433.28,1
STN_0001,Northbound,May,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),155.49363636363637,311.19,49.33,259.2218181818182,0.4309090909090909,209.89181818181817,11
STN_0001,Northbound,May,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),100.08500000000001,113.31,4.21,189.855,0.435,185.64499999999998,4
STN_0001,Northbound,November,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),178.84833333333336,313.75,55.754999999999995,292.88166666666666,0.39666666666666667,237.12666666666667,6
STN_0001,Northbound,November,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),230.792,380.61,63.83200000000001,396.994,0.418,333.162,5
STN_0001,Northbound,November,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),642.13,712.91,307.438,890.4219999999999,0.48,582.984,5
STN_0001,Northbound,November,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),506.77,506.77,225.8,829.68,0.5,603.8799999999999,1
STN_0001,Northbound,November,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),498.24500000000006,568.73,248.10333333333332,699.2816666666666,0.45,451.1783333333333,6
STN_0001,Northbound,November,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),537.71,537.71,230.08,861.15,0.45,631.0699999999999,1
STN_0001,Northbound,November,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),525.235,561.53,227.855,750.5799999999999,0.5,522.725,2
STN_0001,Northbound,November,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),211.98,211.98,11.04,444.32,0.5,433.28,1
STN_0001,Northbound,November,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),94.752,184.91,34.668,137.906,0.392,103.23800000000001,5
STN_0001,Northbound,November,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),62.96333333333333,80.49,0.5733333333333334,132.30999999999997,0.32,131.73666666666665,3
STN_0001,Northbound,October,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),361.87,574.8,159.745,539.1275,0.43,379.3825,8
STN_0001,Northbound,October,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),312.36333333333334,506.99,94.44,549.97,0.39666666666666667,455.53000000000003,3
STN_0001,Northbound,October,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),804.725,908.63,471.0133333333333,1063.9683333333332,0.4916666666666667,592.955,6
STN_0001,Northbound,October,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),680.9233333333333,698.93,399.9533333333333,1003.8266666666667,0.4666666666666666,603.8733333333334,3
STN_0001,Northbound,October,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),712.065,829.83,376.695,950.715,0.45,574.02,6
STN_0001,Northbound,October,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),716.45,716.45,408.81,1039.88,0.45,631.0700000000002,1
STN_0001,Northbound,October,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),656.4744444444445,758.6,302.06,917.5033333333334,0.48888888888888893,615.4433333333333,9
STN_0001,Northbound,October,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),77.77538461538462,240.81,7.452307692307692,139.8753846153846,0.3569230769230769,132.42307692307693,13
STN_0001,Northbound,October,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),80.485,112.73,2.1925,170.2525,0.365,168.06,4
STN_0001,Northbound,September,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),306.8075,462.8,165.8025,435.1375,0.43,269.335,4
STN_0001,Northbound,September,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),421.1,421.1,212.07,623.09,0.47,411.02000000000004,1
STN_0001,Northbound,September,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),800.088888888889,953.13,466.70444444444445,1062.9833333333333,0.5144444444444445,596.2788888888889,9
STN_0001,Northbound,September,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),662.365,675.87,381.395,985.275,0.52,603.88,2
STN_0001,Northbound,September,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),707.1657142857142,783.8,371.89,947.1942857142857,0.47000000000000003,575.3042857142857,7
STN_0001,Northbound,September,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),708.84,718.9,401.20666666666665,1032.2766666666666,0.47,631.07,3
STN_0001,Northbound,September,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),600.790909090909,766.65,283.4136363636364,838.65,0.49727272727272726,555.2363636363636,11
STN_0001,Northbound,September,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),211.705,277.67,65.03999999999999,383.51,0.495,318.46999999999997,2
STN_0001,Northbound,September,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),90.63416666666667,269.08,11.806666666666667,162.71,0.3841666666666667,150.90333333333334,12
STN_0001,Northbound,September,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),81.938,112.09,3.0480000000000005,159.454,0.386,156.406,5
STN_0001,Southbound,April,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),384.19818181818187,592.61,166.12363636363636,580.3854545454545,0.47818181818181815,414.26181818181817,11
STN_0001,Southbound,April,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),403.1075,552.1,182.89,625.22,0.48,442.33,4
STN_0001,Southbound,April,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,Established Station,776.12,892.11,442.9,1040.8400000000001,0.55,597.94,2
STN_0001,Southbound,April,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),829.22,829.22,494.53,1077.51,0.5,582.98,1
STN_0001,Southbound,April,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,Established Station,643.69,649.94,362.72,966.6,0.55,603.88,2
STN_0001,Southbound,April,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),708.02,818.99,372.24300000000005,940.884,0.5,568.641,10
STN_0001,Southbound,April,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),736.0433333333334,758.44,428.41,1059.48,0.5,631.07,3
STN_0001,Southbound,April,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,Established Station,704.7199999999999,759.17,334.00777777777773,975.9455555555555,0.55,641.9377777777778,9
STN_0001,Southbound,April,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),536.835,552.55,166.125,808.06,0.5,641.935,2
STN_0001,Southbound,April,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,Established Station,354.505,480.8,153.56,586.84,0.55,433.28,2
STN_0001,Southbound,April,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),73.28,117.62,6.050909090909091,130.1681818181818,0.4109090909090909,124.11727272727272,11
